number,value,datetime_start,datetime_complete,duration,params_alpha,params_balancing,params_booster,params_colsample_bytree,params_contrast_method,params_eta,params_eval_metric,params_feature_selection,params_gamma,params_lambda,params_max_depth,params_min_child_weight,params_num_round,params_number_features,params_objective,params_rate_drop,params_single_precision_histogram,params_subsample,params_tree_method,params_verbosity,user_attrs_Pipeline,user_attrs_balancing_indicator,user_attrs_cluster_indicator,user_attrs_contrast_encoding_method,user_attrs_damping,user_attrs_feature_selection,user_attrs_number_features,user_attrs_scaling_indicator,user_attrs_train_balanced_accuracy,user_attrs_train_f1_score,user_attrs_train_matthews_corrcoef,user_attrs_train_precision_score,user_attrs_train_recall_score,user_attrs_val_balanced_accuracy,user_attrs_val_f1_score,user_attrs_val_matthews_corrcoef,user_attrs_val_precision_score,user_attrs_val_recall_score,state
0,0.2500926364085467,2022-10-19 11:36:07.272223,2022-10-19 11:36:24.381838,0 days 00:00:17.109615,36.58201619571843,smoteen,gbtree,0.5756230914160778,Backward Difference,0.2728673568062522,aucpr,Lasso,1.2529078326418606,867.5657456630031,10,6.934884882255505,100,16.0,binary:logistic,,True,0.7531923985828232,gpu_hist,0,"Pipeline(memory='Caching',
         steps=[('smote', SMOTEN(n_jobs=2, random_state=120)),
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 BackwardDifferenceEncoder(cols=['Fruitveg_ytd',
                                                 'Number_people_household'...
                                                                 grow_policy=None,
                                                                 importance_type=None,
                                                                 interaction_constraints=None,
                                                                 lambdas=867.5657456630031,
                                                                 learning_rate=None,
                                                                 max_bin=None,
                                                                 max_cat_to_onehot=None,
                                                                 max_delta_step=None,
                                                                 max_depth=10,
                                                                 max_leaves=None,
                                                                 min_child_weight=6.934884882255505,
                                                                 missing=nan,
                                                                 monotone_constraints=None,
                                                                 n_estimators=100,
                                                                 n_jobs=None,
                                                                 num_parallel_tree=None,
                                                                 num_round=100, ...),
                                             number=16))])",smoteen,no,Backward Difference,,Lasso,16.0,no,0.4843485531814122,0.38243665027918233,0.23370106947760347,0.39905101652248076,0.4843485531814122,0.30727738024249657,0.2500926364085467,0.048324637143005215,0.2750097361117098,0.30727738024249657,COMPLETE
1,0.09661817285517804,2022-10-19 11:36:24.536008,2022-10-19 11:36:44.395284,0 days 00:00:19.859276,0.2998278320976228,no,gbtree,0.8180457691764822,Backward Difference,0.14547820363478853,aucpr,BorutaShap,2.473300242012974,0.8845190447912308,1,64.79839508949989,100,,binary:logistic,,True,0.9816648291933787,gpu_hist,0,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 BackwardDifferenceEncoder(cols=['Fruitveg_ytd',
                                                 'Number_people_household',
                                                 'Sports_in_week',
                                                 'Internet_in_week',
                                                 'Tired_...
                                                                 gpu_id=None,
                                                                 grow_policy=None,
                                                                 importance_type=None,
                                                                 interaction_constraints=None,
                                                                 lambdas=0.8845190447912308,
                                                                 learning_rate=None,
                                                                 max_bin=None,
                                                                 max_cat_to_onehot=None,
                                                                 max_delta_step=None,
                                                                 max_depth=1,
                                                                 max_leaves=None,
                                                                 min_child_weight=64.79839508949989,
                                                                 missing=nan,
                                                                 monotone_constraints=None,
                                                                 n_estimators=100,
                                                                 n_jobs=None,
                                                                 num_parallel_tree=None,
                                                                 num_round=100, ...)))])",no,no,Backward Difference,,BorutaShap,,no,0.32280500773395204,0.12521069927043665,0.07067721815043289,0.12765924031319056,0.32280500773395204,0.2863372093023256,0.09661817285517804,0.04466057985021934,0.11009411474129216,0.2863372093023256,COMPLETE
2,0.22859158516980416,2022-10-19 11:36:44.547448,2022-10-19 11:37:34.003831,0 days 00:00:49.456383,36.039968249365174,no,dart,0.8069034650101861,Backward Difference,0.33517750842786503,aucpr,FeatureImportance_ET,6.45416018719052,1.4719134755714305,5,0.18086110921005494,100,25.0,binary:logistic,0.006713737181823131,True,0.6239137083031452,gpu_hist,0,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 BackwardDifferenceEncoder(cols=['Fruitveg_ytd',
                                                 'Number_people_household',
                                                 'Sports_in_week',
                                                 'Internet_in_week',
                                                 'Tired_...
                                                                 grow_policy=None,
                                                                 importance_type=None,
                                                                 interaction_constraints=None,
                                                                 lambdas=1.4719134755714305,
                                                                 learning_rate=None,
                                                                 max_bin=None,
                                                                 max_cat_to_onehot=None,
                                                                 max_delta_step=None,
                                                                 max_depth=5,
                                                                 max_leaves=None,
                                                                 min_child_weight=0.18086110921005494,
                                                                 missing=nan,
                                                                 monotone_constraints=None,
                                                                 n_estimators=100,
                                                                 n_jobs=None,
                                                                 num_parallel_tree=None,
                                                                 num_round=100, ...),
                                             number=25))])",no,no,Backward Difference,,FeatureImportance_ET,25.0,no,0.25,0.22859163282347905,0.0,0.21056069848744294,0.25,0.25,0.22859158516980416,0.0,0.21056091707516342,0.25,COMPLETE
3,0.26997803352991095,2022-10-19 11:37:34.153816,2022-10-19 11:37:39.092271,0 days 00:00:04.938455,0.7039313338109634,no,gbtree,0.8398046924469257,Helmert,0.1163931725940201,aucpr,FeatureImportance_ET,0.10358362648877652,0.22084789574957864,4,0.499053402636082,100,3.0,binary:logistic,,True,0.752009252760742,gpu_hist,0,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 HelmertEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                      'Sports_in_week', 'Internet_in_week',
                                      'Tired_in_week', 'C...
                                                                 grow_policy=None,
                                                                 importance_type=None,
                                                                 interaction_constraints=None,
                                                                 lambdas=0.22084789574957864,
                                                                 learning_rate=None,
                                                                 max_bin=None,
                                                                 max_cat_to_onehot=None,
                                                                 max_delta_step=None,
                                                                 max_depth=4,
                                                                 max_leaves=None,
                                                                 min_child_weight=0.499053402636082,
                                                                 missing=nan,
                                                                 monotone_constraints=None,
                                                                 n_estimators=100,
                                                                 n_jobs=None,
                                                                 num_parallel_tree=None,
                                                                 num_round=100, ...),
                                             number=3))])",no,no,Helmert,,FeatureImportance_ET,3.0,no,0.7631535901425085,0.500034477448731,0.39608923754038,0.44897754910560583,0.7631535901425085,0.31406281057443847,0.26997803352991095,0.1194844172441638,0.2860503662750038,0.31406281057443847,COMPLETE
4,0.26459214760118316,2022-10-19 11:37:39.266935,2022-10-19 11:37:59.705469,0 days 00:00:20.438534,2.6394938042194647,no,dart,0.5481390983549954,Backward Difference,0.13527225939740295,aucpr,ANOVA,4.148762326769556,179.60496801902553,3,40.188011769867735,100,8.0,binary:logistic,0.6476545523889669,True,0.9699485542260512,gpu_hist,0,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 BackwardDifferenceEncoder(cols=['Fruitveg_ytd',
                                                 'Number_people_household',
                                                 'Sports_in_week',
                                                 'Internet_in_week',
                                                 'Tired_...
                                                                 grow_policy=None,
                                                                 importance_type=None,
                                                                 interaction_constraints=None,
                                                                 lambdas=179.60496801902553,
                                                                 learning_rate=None,
                                                                 max_bin=None,
                                                                 max_cat_to_onehot=None,
                                                                 max_delta_step=None,
                                                                 max_depth=3,
                                                                 max_leaves=None,
                                                                 min_child_weight=40.188011769867735,
                                                                 missing=nan,
                                                                 monotone_constraints=None,
                                                                 n_estimators=100,
                                                                 n_jobs=None,
                                                                 num_parallel_tree=None,
                                                                 num_round=100, ...),
                                             number=8))])",no,no,Backward Difference,,ANOVA,8.0,no,0.46915680063190585,0.3313440156451935,0.20840492342647673,0.3702819584934562,0.46915680063190585,0.3294224419708916,0.26459214760118316,0.150766286975932,0.2828630996976084,0.3294224419708916,COMPLETE
5,0.19951381694699566,2022-10-19 11:37:59.880946,2022-10-19 11:38:07.293134,0 days 00:00:07.412188,1.1780751095000568,smoteen,gbtree,0.8472520572527735,Backward Difference,0.36074660228880784,aucpr,MutualInformation,0.7748297307477117,95.97181607200149,9,11.309911904280387,100,8.0,binary:logistic,,True,0.883063726342064,gpu_hist,0,"Pipeline(memory='Caching',
         steps=[('smote', SMOTEN(n_jobs=2, random_state=120)),
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 BackwardDifferenceEncoder(cols=['Fruitveg_ytd',
                                                 'Number_people_household'...
                                                                 grow_policy=None,
                                                                 importance_type=None,
                                                                 interaction_constraints=None,
                                                                 lambdas=95.97181607200149,
                                                                 learning_rate=None,
                                                                 max_bin=None,
                                                                 max_cat_to_onehot=None,
                                                                 max_delta_step=None,
                                                                 max_depth=9,
                                                                 max_leaves=None,
                                                                 min_child_weight=11.309911904280387,
                                                                 missing=nan,
                                                                 monotone_constraints=None,
                                                                 n_estimators=100,
                                                                 n_jobs=None,
                                                                 num_parallel_tree=None,
                                                                 num_round=100, ...),
                                             number=8))])",smoteen,no,Backward Difference,,MutualInformation,8.0,no,0.45215209955814545,0.2840665706027603,0.15914215572740356,0.3402924355642433,0.45215209955814545,0.2957292563881711,0.19951381694699566,0.028357488312195037,0.3354438806959914,0.2957292563881711,COMPLETE
6,0.1330195086643071,2022-10-19 11:38:07.474033,2022-10-19 11:38:59.053331,0 days 00:00:51.579298,5.380422510532738,smoteen,dart,0.7134135651309252,Helmert,0.10403245945744187,aucpr,ANOVA,3.3801860079761163,2.2064683326116388,10,0.6618343872576353,100,13.0,binary:logistic,0.003751244110995145,True,0.5877125399766212,gpu_hist,0,"Pipeline(memory='Caching',
         steps=[('smote', SMOTEN(n_jobs=2, random_state=120)),
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 HelmertEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                      'Sports_in...
                                                                 grow_policy=None,
                                                                 importance_type=None,
                                                                 interaction_constraints=None,
                                                                 lambdas=2.2064683326116388,
                                                                 learning_rate=None,
                                                                 max_bin=None,
                                                                 max_cat_to_onehot=None,
                                                                 max_delta_step=None,
                                                                 max_depth=10,
                                                                 max_leaves=None,
                                                                 min_child_weight=0.6618343872576353,
                                                                 missing=nan,
                                                                 monotone_constraints=None,
                                                                 n_estimators=100,
                                                                 n_jobs=None,
                                                                 num_parallel_tree=None,
                                                                 num_round=100, ...),
                                             number=13))])",smoteen,no,Helmert,,ANOVA,13.0,no,0.39500931146843166,0.20968760792110283,0.1252637079255522,0.35808027073106663,0.39500931146843166,0.2356571202985932,0.1330195086643071,0.003471527684618408,0.24926403769782376,0.2356571202985932,COMPLETE
7,0.2873858376494569,2022-10-19 11:38:59.207072,2022-10-19 11:39:17.176976,0 days 00:00:17.969904,8.61444620627157,no,gbtree,0.7344659125841444,Helmert,0.4024311383591036,aucpr,BorutaShap,1.731504659578251,0.1577264532000003,5,0.22909901461932,100,,binary:logistic,,True,0.8918098657195069,gpu_hist,0,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 HelmertEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                      'Sports_in_week', 'Internet_in_week',
                                      'Tired_in_week', 'C...
                                                                 gpu_id=None,
                                                                 grow_policy=None,
                                                                 importance_type=None,
                                                                 interaction_constraints=None,
                                                                 lambdas=0.1577264532000003,
                                                                 learning_rate=None,
                                                                 max_bin=None,
                                                                 max_cat_to_onehot=None,
                                                                 max_delta_step=None,
                                                                 max_depth=5,
                                                                 max_leaves=None,
                                                                 min_child_weight=0.22909901461932,
                                                                 missing=nan,
                                                                 monotone_constraints=None,
                                                                 n_estimators=100,
                                                                 n_jobs=None,
                                                                 num_parallel_tree=None,
                                                                 num_round=100, ...)))])",no,no,Helmert,,BorutaShap,,no,0.482286791728868,0.36149913976728754,0.22686704849768854,0.3560393704858355,0.482286791728868,0.3466281278296783,0.2873858376494569,0.14805982164607803,0.30254329434626426,0.3466281278296783,COMPLETE
8,0.09913968302831279,2022-10-19 11:39:17.320584,2022-10-19 11:39:24.129796,0 days 00:00:06.809212,2.1841132223058732,smoteen,gbtree,0.9824329668514368,Polynomial,0.38798912708632727,aucpr,MutualInformation,18.678646917086596,2.666273763075713,6,0.7139506747713724,100,19.0,binary:logistic,,True,0.5706704498258072,gpu_hist,0,"Pipeline(memory='Caching',
         steps=[('smote', SMOTEN(n_jobs=2, random_state=120)),
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 PolynomialEncoder(cols=['Fruitveg_ytd',
                                         'Number_people_household',
                                         'Sports...
                                                                 grow_policy=None,
                                                                 importance_type=None,
                                                                 interaction_constraints=None,
                                                                 lambdas=2.666273763075713,
                                                                 learning_rate=None,
                                                                 max_bin=None,
                                                                 max_cat_to_onehot=None,
                                                                 max_delta_step=None,
                                                                 max_depth=6,
                                                                 max_leaves=None,
                                                                 min_child_weight=0.7139506747713724,
                                                                 missing=nan,
                                                                 monotone_constraints=None,
                                                                 n_estimators=100,
                                                                 n_jobs=None,
                                                                 num_parallel_tree=None,
                                                                 num_round=100, ...),
                                             number=19))])",smoteen,no,Polynomial,,MutualInformation,19.0,no,0.37487966285364843,0.21083049283211286,0.11770588319320625,0.313147378412513,0.37487966285364843,0.24421834625323,0.09913968302831279,0.00918546599122644,0.25084683728789725,0.24421834625323,COMPLETE
9,0.22859158516980416,2022-10-19 11:39:24.280857,2022-10-19 11:39:30.400264,0 days 00:00:06.119407,66.4886447365745,no,gbtree,0.659840434684122,Polynomial,0.12183706752334003,aucpr,FeatureWiz,0.403039241425441,26.47305602241626,2,939.5319758580657,100,,binary:logistic,,True,0.7639828208683175,gpu_hist,0,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 PolynomialEncoder(cols=['Fruitveg_ytd',
                                         'Number_people_household',
                                         'Sports_in_week', 'Internet_in_week',
                                         'Tired_in_week'...
                                                                 gpu_id=None,
                                                                 grow_policy=None,
                                                                 importance_type=None,
                                                                 interaction_constraints=None,
                                                                 lambdas=26.47305602241626,
                                                                 learning_rate=None,
                                                                 max_bin=None,
                                                                 max_cat_to_onehot=None,
                                                                 max_delta_step=None,
                                                                 max_depth=2,
                                                                 max_leaves=None,
                                                                 min_child_weight=939.5319758580657,
                                                                 missing=nan,
                                                                 monotone_constraints=None,
                                                                 n_estimators=100,
                                                                 n_jobs=None,
                                                                 num_parallel_tree=None,
                                                                 num_round=100, ...)))])",no,no,Polynomial,,FeatureWiz,,no,0.25,0.22859163282347905,0.0,0.21056069848744294,0.25,0.25,0.22859158516980416,0.0,0.21056091707516342,0.25,COMPLETE
