,Timestamp
2020/04/28 4:03:11 pm CET,2
2020/03/24 12:59:02 pm CET,1
2020/05/19 11:29:38 am CET,1
2020/05/18 9:28:01 pm CET,1
2020/05/18 9:39:53 pm CET,1
2020/05/18 10:26:09 pm CET,1
2020/05/19 9:06:32 am CET,1
2020/05/19 9:10:34 am CET,1
2020/05/19 9:14:51 am CET,1
2020/05/19 9:32:06 am CET,1
2020/05/19 10:17:38 am CET,1
2020/05/19 10:28:28 am CET,1
2020/05/19 10:41:16 am CET,1
2020/05/19 11:13:58 am CET,1
2020/05/19 11:25:22 am CET,1
2020/05/19 11:31:35 am CET,1
2020/05/21 11:29:29 am CET,1
2020/05/19 11:49:02 am CET,1
2020/05/19 11:50:56 am CET,1
2020/05/19 11:53:48 am CET,1
2020/05/19 11:55:48 am CET,1
2020/05/19 12:03:17 pm CET,1
2020/05/19 12:03:41 pm CET,1
2020/05/19 12:05:03 pm CET,1
2020/05/19 12:41:44 pm CET,1
2020/05/19 1:06:11 pm CET,1
2020/05/19 1:13:06 pm CET,1
2020/05/19 1:27:21 pm CET,1
2020/05/19 1:27:43 pm CET,1
2020/05/18 9:24:50 pm CET,1
2020/05/18 9:23:17 pm CET,1
2020/05/18 8:38:33 pm CET,1
2020/05/18 5:55:36 pm CET,1
2020/05/18 2:32:34 pm CET,1
2020/05/18 2:40:57 pm CET,1
2020/05/18 3:09:43 pm CET,1
2020/05/18 3:15:35 pm CET,1
2020/05/18 3:25:26 pm CET,1
2020/05/18 3:29:00 pm CET,1
2020/05/18 3:33:24 pm CET,1
2020/05/18 3:33:30 pm CET,1
2020/05/18 3:44:56 pm CET,1
2020/05/18 4:22:10 pm CET,1
2020/05/18 5:39:00 pm CET,1
2020/05/18 5:49:06 pm CET,1
2020/05/18 5:55:42 pm CET,1
2020/05/18 8:34:41 pm CET,1
2020/05/18 6:18:30 pm CET,1
2020/05/18 6:23:59 pm CET,1
2020/05/18 6:32:43 pm CET,1
2020/05/18 6:54:49 pm CET,1
2020/05/18 7:16:14 pm CET,1
2020/05/18 7:17:38 pm CET,1
2020/05/18 7:19:49 pm CET,1
2020/05/18 7:31:20 pm CET,1
2020/05/18 8:05:22 pm CET,1
2020/05/18 8:05:32 pm CET,1
2020/05/18 8:25:34 pm CET,1
2020/05/18 8:31:26 pm CET,1
2020/05/19 1:46:32 pm CET,1
2020/05/19 2:15:53 pm CET,1
2020/05/19 2:21:05 pm CET,1
2020/05/20 12:21:23 pm CET,1
2020/05/20 9:51:44 am CET,1
2020/05/20 10:10:38 am CET,1
2020/05/20 10:14:20 am CET,1
2020/05/20 10:33:52 am CET,1
2020/05/20 11:05:57 am CET,1
2020/05/20 11:27:05 am CET,1
2020/05/20 11:28:36 am CET,1
2020/05/20 11:31:15 am CET,1
2020/05/20 11:40:48 am CET,1
2020/05/20 11:56:08 am CET,1
2020/05/20 11:59:20 am CET,1
2020/05/20 12:08:28 pm CET,1
2020/05/20 1:46:06 pm CET,1
2020/05/20 8:47:48 am CET,1
2020/05/20 2:02:57 pm CET,1
2020/05/20 3:45:30 pm CET,1
2020/05/20 3:46:08 pm CET,1
2020/05/20 4:10:14 pm CET,1
2020/05/20 4:33:38 pm CET,1
2020/05/20 5:48:36 pm CET,1
2020/05/20 6:22:21 pm CET,1
2020/05/20 8:59:42 pm CET,1
2020/05/20 10:09:45 pm CET,1
2020/05/21 8:46:01 am CET,1
2020/05/21 9:58:37 am CET,1
2020/05/21 10:52:37 am CET,1
2020/05/20 8:53:58 am CET,1
2020/05/19 11:47:15 pm CET,1
2020/05/19 2:29:34 pm CET,1
2020/05/19 4:04:02 pm CET,1
2020/05/19 2:37:49 pm CET,1
2020/05/19 2:38:33 pm CET,1
2020/05/19 2:38:56 pm CET,1
2020/05/19 2:43:57 pm CET,1
2020/05/19 2:46:23 pm CET,1
2020/05/19 3:00:18 pm CET,1
2020/05/19 3:03:08 pm CET,1
2020/05/19 3:09:09 pm CET,1
2020/05/19 3:17:03 pm CET,1
2020/05/19 3:28:54 pm CET,1
2020/05/19 3:33:13 pm CET,1
2020/05/19 3:44:11 pm CET,1
2020/05/19 4:04:17 pm CET,1
2020/05/19 10:28:59 pm CET,1
2020/05/19 4:07:18 pm CET,1
2020/05/19 4:14:33 pm CET,1
2020/05/19 4:36:18 pm CET,1
2020/05/19 5:52:32 pm CET,1
2020/05/19 6:03:20 pm CET,1
2020/05/19 6:16:43 pm CET,1
2020/05/19 6:56:59 pm CET,1
2020/05/19 7:48:32 pm CET,1
